class_id,class_name,segment_count,total_seconds,min,p10,p25,median,mean,p75,p90,p95,max,recommended_window,recommended_stride
0,Reverse empty harvesting,1252,9353,1.0,3.0,4.0,6.0,7.470447063446045,9.0,13.0,18.0,56.0,18,2
1,Straight empty harvesting,819,3670,1.0,2.0,2.0,3.0,4.481074333190918,5.0,9.0,11.0,41.0,16,1
2,Turning empty harvesting,848,4785,1.0,2.0,3.0,5.0,5.642688751220703,7.0,10.29998779296875,12.0,23.0,16,2
3,Full-load harvesting,1304,44485,1.0,4.0,9.0,24.0,34.11426544189453,49.0,77.0,107.0,222.0,98,6
4,Reverse transfer,367,3317,1.0,2.0,4.0,7.0,9.03814697265625,13.0,18.0,21.0,85.0,26,2
5,Straight transfer,400,4952,1.0,2.0,4.0,8.0,12.380000114440918,13.0,26.0,45.0,158.0,26,2
6,Turning transfer,262,1854,1.0,2.0,4.0,6.0,7.076335906982422,9.0,14.0,16.0,31.0,18,2
7,Engine-off waiting,632,15241,1.0,1.0,2.0,4.0,24.115507125854492,14.25,60.7999267578125,119.0,544.0,29,1
8,Idling waiting,593,12583,1.0,2.0,4.0,10.0,21.21922492980957,23.0,57.0,86.0,212.0,46,3
9,Unloading,212,4494,1.0,4.0,7.0,12.0,21.19811248779297,22.0,34.899993896484375,44.34999084472656,752.0,44,3
10,Road driving,29,714,2.0,4.0,12.0,22.0,24.620689392089844,29.0,45.99999237060547,60.80000686645508,76.0,58,6
