video_file,class_id,class_name,start_second,end_second,start_time,end_time,rows,duration_seconds
20241018043810.mp4,7,Engine-off waiting,25,351,2024-10-18 12:38:38,2024-10-18 12:44:04,327,327
20241018043810.mp4,7,Engine-off waiting,353,395,2024-10-18 12:44:06,2024-10-18 12:44:48,43,43
20241018043810.mp4,8,Idling waiting,396,406,2024-10-18 12:44:49,2024-10-18 12:44:59,11,11
20241018043810.mp4,5,Straight transfer,407,410,2024-10-18 12:45:00,2024-10-18 12:45:03,4,4
20241018043810.mp4,6,Turning transfer,411,413,2024-10-18 12:45:04,2024-10-18 12:45:06,3,3
20241018043810.mp4,4,Reverse transfer,414,431,2024-10-18 12:45:07,2024-10-18 12:45:24,18,18
20241018043810.mp4,8,Idling waiting,432,436,2024-10-18 12:45:25,2024-10-18 12:45:29,5,5
20241018043810.mp4,1,Straight empty harvesting,437,440,2024-10-18 12:45:30,2024-10-18 12:45:33,4,4
20241018043810.mp4,3,Full-load harvesting,441,537,2024-10-18 12:45:34,2024-10-18 12:47:10,97,97
20241018043810.mp4,2,Turning empty harvesting,538,545,2024-10-18 12:47:11,2024-10-18 12:47:18,8,8
20241018043810.mp4,1,Straight empty harvesting,546,549,2024-10-18 12:47:19,2024-10-18 12:47:22,4,4
20241018043810.mp4,8,Idling waiting,550,639,2024-10-18 12:47:23,2024-10-18 12:48:52,90,90
20241018043810.mp4,6,Turning transfer,640,646,2024-10-18 12:48:53,2024-10-18 12:48:59,7,7
20241018043810.mp4,5,Straight transfer,647,694,2024-10-18 12:49:00,2024-10-18 12:49:47,48,48
20241018043810.mp4,6,Turning transfer,695,700,2024-10-18 12:49:48,2024-10-18 12:49:53,6,6
20241018043810.mp4,8,Idling waiting,701,701,2024-10-18 12:49:54,2024-10-18 12:49:54,1,1
20241018043810.mp4,8,Idling waiting,703,703,2024-10-18 12:49:56,2024-10-18 12:49:56,1,1
20241018043810.mp4,4,Reverse transfer,704,708,2024-10-18 12:49:57,2024-10-18 12:50:01,5,5
20241018043810.mp4,8,Idling waiting,709,726,2024-10-18 12:50:02,2024-10-18 12:50:19,18,18
20241018043810.mp4,5,Straight transfer,727,731,2024-10-18 12:50:20,2024-10-18 12:50:24,5,5
20241018043810.mp4,4,Reverse transfer,732,742,2024-10-18 12:50:25,2024-10-18 12:50:35,11,11
20241018043810.mp4,5,Straight transfer,743,747,2024-10-18 12:50:36,2024-10-18 12:50:40,5,5
20241018043810.mp4,8,Idling waiting,748,754,2024-10-18 12:50:41,2024-10-18 12:50:47,7,7
20241018043810.mp4,7,Engine-off waiting,755,769,2024-10-18 12:50:48,2024-10-18 12:51:02,15,15
20241018043810.mp4,7,Engine-off waiting,771,1288,2024-10-18 12:51:04,2024-10-18 12:59:41,518,518
20241018043810.mp4,9,Unloading,1289,1300,2024-10-18 12:59:42,2024-10-18 12:59:53,12,12
20241018043810.mp4,8,Idling waiting,1301,1310,2024-10-18 12:59:54,2024-10-18 13:00:03,10,10
20241018043810.mp4,5,Straight transfer,1312,1317,2024-10-18 13:00:05,2024-10-18 13:00:10,6,6
20241018043810.mp4,6,Turning transfer,1318,1331,2024-10-18 13:00:11,2024-10-18 13:00:24,14,14
20241018043810.mp4,5,Straight transfer,1332,1336,2024-10-18 13:00:25,2024-10-18 13:00:29,5,5
20241018043810.mp4,6,Turning transfer,1337,1358,2024-10-18 13:00:30,2024-10-18 13:00:51,22,22
20241018043810.mp4,5,Straight transfer,1359,1361,2024-10-18 13:00:52,2024-10-18 13:00:54,3,3
20241018043810.mp4,6,Turning transfer,1362,1387,2024-10-18 13:00:55,2024-10-18 13:01:20,26,26
20241018043810.mp4,1,Straight empty harvesting,1388,1398,2024-10-18 13:01:21,2024-10-18 13:01:31,11,11
20241018043810.mp4,3,Full-load harvesting,1399,1442,2024-10-18 13:01:32,2024-10-18 13:02:15,44,44
20241018043810.mp4,0,Reverse empty harvesting,1443,1452,2024-10-18 13:02:16,2024-10-18 13:02:25,10,10
20241018043810.mp4,3,Full-load harvesting,1453,1463,2024-10-18 13:02:26,2024-10-18 13:02:36,11,11
20241018043810.mp4,0,Reverse empty harvesting,1464,1471,2024-10-18 13:02:37,2024-10-18 13:02:44,8,8
20241018043810.mp4,3,Full-load harvesting,1472,1478,2024-10-18 13:02:45,2024-10-18 13:02:51,7,7
20241018043810.mp4,0,Reverse empty harvesting,1479,1485,2024-10-18 13:02:52,2024-10-18 13:02:58,7,7
20241018043810.mp4,1,Straight empty harvesting,1486,1488,2024-10-18 13:02:59,2024-10-18 13:03:01,3,3
20241018043810.mp4,3,Full-load harvesting,1489,1491,2024-10-18 13:03:02,2024-10-18 13:03:04,3,3
20241018043810.mp4,0,Reverse empty harvesting,1492,1498,2024-10-18 13:03:05,2024-10-18 13:03:11,7,7
20241018043810.mp4,2,Turning empty harvesting,1499,1502,2024-10-18 13:03:12,2024-10-18 13:03:15,4,4
20241018043810.mp4,0,Reverse empty harvesting,1503,1504,2024-10-18 13:03:16,2024-10-18 13:03:17,2,2
20241018043810.mp4,2,Turning empty harvesting,1505,1508,2024-10-18 13:03:18,2024-10-18 13:03:21,4,4
20241018043810.mp4,0,Reverse empty harvesting,1509,1513,2024-10-18 13:03:22,2024-10-18 13:03:26,5,5
20241018043810.mp4,3,Full-load harvesting,1514,1640,2024-10-18 13:03:27,2024-10-18 13:05:33,127,127
20241018043810.mp4,0,Reverse empty harvesting,1641,1650,2024-10-18 13:05:34,2024-10-18 13:05:43,10,10
20241018043810.mp4,1,Straight empty harvesting,1651,1655,2024-10-18 13:05:44,2024-10-18 13:05:48,5,5
20241018043810.mp4,3,Full-load harvesting,1656,1663,2024-10-18 13:05:49,2024-10-18 13:05:56,8,8
